logical: 65321, physical: 30505, byte value: 0
logical: 45278, physical: 18142, byte value: 44
logical: 26256, physical: 144, byte value: 0
logical: 64198, physical: 4806, byte value: 62
logical: 29441, physical: 513, byte value: 0
logical: 1928, physical: 7304, byte value: 0
logical: 39425, physical: 20225, byte value: 0
logical: 32000, physical: 768, byte value: 0
logical: 28549, physical: 28037, byte value: 0
logical: 46295, physical: 1751, byte value: 53
logical: 22772, physical: 3060, byte value: 0
logical: 58228, physical: 2420, byte value: 0
logical: 63525, physical: 13861, byte value: 0
logical: 32602, physical: 32346, byte value: 31
logical: 46195, physical: 1651, byte value: 28
logical: 55849, physical: 4393, byte value: 0
logical: 46454, physical: 4214, byte value: 45
logical: 7487, physical: 11839, byte value: 79
logical: 33879, physical: 18263, byte value: 21
logical: 42004, physical: 23316, byte value: 0
logical: 8599, physical: 22935, byte value: 101
logical: 18641, physical: 3793, byte value: 0
logical: 49015, physical: 17271, byte value: -35
logical: 26830, physical: 19918, byte value: 26
logical: 34754, physical: 32706, byte value: 33
logical: 14668, physical: 5196, byte value: 0
logical: 38362, physical: 31962, byte value: 37
logical: 38791, physical: 25735, byte value: -31
logical: 4171, physical: 30283, byte value: 18
logical: 45975, physical: 24727, byte value: -27
logical: 14623, physical: 5151, byte value: 71
logical: 62393, physical: 23993, byte value: 0
logical: 64658, physical: 6290, byte value: 63
logical: 10963, physical: 6611, byte value: -76
logical: 9058, physical: 29794, byte value: 8
logical: 51031, physical: 14935, byte value: -43
logical: 32425, physical: 29609, byte value: 0
logical: 45483, physical: 23211, byte value: 106
logical: 44611, physical: 6979, byte value: -112
logical: 63664, physical: 14000, byte value: 0
logical: 54920, physical: 7560, byte value: 0
logical: 7663, physical: 12015, byte value: 123
logical: 56480, physical: 7840, byte value: 0
logical: 1489, physical: 8145, byte value: 0
logical: 28438, physical: 27926, byte value: 27
logical: 65449, physical: 30633, byte value: 0
logical: 12441, physical: 16537, byte value: 0
logical: 58530, physical: 15522, byte value: 57
logical: 63570, physical: 13906, byte value: 62
logical: 26251, physical: 139, byte value: -94
logical: 15972, physical: 9316, byte value: 0
logical: 35826, physical: 11506, byte value: 34
logical: 5491, physical: 19315, byte value: 92
logical: 54253, physical: 10221, byte value: 0
logical: 49655, physical: 13303, byte value: 125
logical: 5868, physical: 18668, byte value: 0
logical: 20163, physical: 9155, byte value: -80
logical: 51079, physical: 14983, byte value: -31
logical: 21398, physical: 24982, byte value: 20
logical: 32756, physical: 32500, byte value: 0
logical: 64196, physical: 4804, byte value: 0
logical: 43218, physical: 12242, byte value: 42
logical: 21583, physical: 9551, byte value: 19
logical: 25086, physical: 1278, byte value: 24
logical: 45515, physical: 23243, byte value: 114
logical: 12893, physical: 25181, byte value: 0
logical: 22914, physical: 10882, byte value: 22
logical: 58969, physical: 26713, byte value: 0
logical: 20094, physical: 9086, byte value: 19
logical: 13730, physical: 11682, byte value: 13
logical: 44059, physical: 12827, byte value: 6
logical: 28931, physical: 23555, byte value: 64
logical: 13533, physical: 13533, byte value: 0
logical: 33134, physical: 13678, byte value: 32
logical: 28483, physical: 27971, byte value: -48
logical: 1220, physical: 16324, byte value: 0
logical: 38174, physical: 31774, byte value: 37
logical: 53502, physical: 6142, byte value: 52
logical: 43328, physical: 14144, byte value: 0
logical: 4970, physical: 10346, byte value: 4
logical: 8090, physical: 1946, byte value: 7
logical: 2661, physical: 15205, byte value: 0
logical: 53903, physical: 3983, byte value: -93
logical: 11025, physical: 15633, byte value: 0
logical: 26627, physical: 19715, byte value: 0
logical: 18117, physical: 20677, byte value: 0
logical: 14505, physical: 16041, byte value: 0
logical: 61528, physical: 31064, byte value: 0
logical: 20423, physical: 16839, byte value: -15
logical: 26962, physical: 6738, byte value: 26
logical: 36392, physical: 14376, byte value: 0
logical: 11365, physical: 26213, byte value: 0
logical: 50882, physical: 28610, byte value: 49
logical: 41668, physical: 17860, byte value: 0
logical: 30497, physical: 24097, byte value: 0
logical: 36216, physical: 2680, byte value: 0
logical: 5619, physical: 19443, byte value: 124
logical: 36983, physical: 20855, byte value: 29
logical: 59557, physical: 26021, byte value: 0
logical: 36663, physical: 31287, byte value: -51
logical: 36436, physical: 14420, byte value: 0
logical: 37057, physical: 20929, byte value: 0
logical: 23585, physical: 16929, byte value: 0
logical: 58791, physical: 10663, byte value: 105
logical: 46666, physical: 19018, byte value: 45
logical: 64475, physical: 12507, byte value: -10
logical: 21615, physical: 9583, byte value: 27
logical: 41090, physical: 3202, byte value: 40
logical: 1771, physical: 21227, byte value: -70
logical: 47513, physical: 409, byte value: 0
logical: 39338, physical: 5802, byte value: 38
logical: 1390, physical: 8046, byte value: 1
logical: 38772, physical: 25716, byte value: 0
logical: 58149, physical: 2341, byte value: 0
logical: 7196, physical: 19996, byte value: 0
logical: 9123, physical: 29859, byte value: -24
logical: 7491, physical: 11843, byte value: 80
logical: 62616, physical: 27288, byte value: 0
logical: 15436, physical: 9804, byte value: 0
logical: 17491, physical: 8787, byte value: 20
logical: 53656, physical: 8344, byte value: 0
logical: 26449, physical: 18769, byte value: 0
logical: 34935, physical: 19575, byte value: 29
logical: 19864, physical: 21400, byte value: 0
logical: 51388, physical: 21692, byte value: 0
logical: 15155, physical: 4915, byte value: -52
logical: 64775, physical: 22023, byte value: 65
logical: 47969, physical: 2145, byte value: 0
logical: 16315, physical: 8635, byte value: -18
logical: 1342, physical: 7998, byte value: 1
logical: 51185, physical: 15089, byte value: 0
logical: 6043, physical: 5531, byte value: -26
logical: 21398, physical: 24982, byte value: 20
logical: 3273, physical: 3529, byte value: 0
logical: 9370, physical: 11162, byte value: 9
logical: 35463, physical: 12679, byte value: -95
logical: 28205, physical: 21805, byte value: 0
logical: 2351, physical: 24367, byte value: 75
logical: 28999, physical: 23623, byte value: 81
logical: 47699, physical: 25427, byte value: -108
logical: 46870, physical: 29974, byte value: 45
logical: 22311, physical: 17447, byte value: -55
logical: 22124, physical: 27500, byte value: 0
logical: 22427, physical: 17563, byte value: -26
logical: 49344, physical: 27840, byte value: 0
logical: 23224, physical: 28344, byte value: 0
logical: 5514, physical: 19338, byte value: 5
logical: 20504, physical: 1304, byte value: 0
logical: 376, physical: 14712, byte value: 0
logical: 2014, physical: 7390, byte value: 1
logical: 38700, physical: 25644, byte value: 0
logical: 13098, physical: 22314, byte value: 12
logical: 62435, physical: 24035, byte value: -8
logical: 48046, physical: 2222, byte value: 46
logical: 63464, physical: 29160, byte value: 0
logical: 12798, physical: 29438, byte value: 12
logical: 51178, physical: 15082, byte value: 49
logical: 8627, physical: 22963, byte value: 108
logical: 27083, physical: 6859, byte value: 114
logical: 47198, physical: 28766, byte value: 46
logical: 44021, physical: 26613, byte value: 0
logical: 32792, physical: 22552, byte value: 0
logical: 43996, physical: 26588, byte value: 0
logical: 41126, physical: 3238, byte value: 40
logical: 64244, physical: 4852, byte value: 0
logical: 37047, physical: 20919, byte value: 45
logical: 60281, physical: 30841, byte value: 0
logical: 52904, physical: 27048, byte value: 0
logical: 7768, physical: 31576, byte value: 0
logical: 55359, physical: 32063, byte value: 15
logical: 3230, physical: 3486, byte value: 3
logical: 44813, physical: 17933, byte value: 0
logical: 4116, physical: 30228, byte value: 0
logical: 65222, physical: 710, byte value: 63
logical: 28083, physical: 20403, byte value: 108
logical: 60660, physical: 1012, byte value: 0
logical: 39, physical: 2855, byte value: 9
logical: 328, physical: 14664, byte value: 0
logical: 47868, physical: 25596, byte value: 0
logical: 13009, physical: 25297, byte value: 0
logical: 22378, physical: 17514, byte value: 21
logical: 39304, physical: 5768, byte value: 0
logical: 11171, physical: 15779, byte value: -24
logical: 8079, physical: 1935, byte value: -29
logical: 52879, physical: 27023, byte value: -93
logical: 5123, physical: 1539, byte value: 0
logical: 4356, physical: 4356, byte value: 0
logical: 45745, physical: 4273, byte value: 0
logical: 32952, physical: 22712, byte value: 0
logical: 4657, physical: 18225, byte value: 0
logical: 24142, physical: 23374, byte value: 23
logical: 23319, physical: 3607, byte value: -59
logical: 13607, physical: 11559, byte value: 73
logical: 46304, physical: 17376, byte value: 0
logical: 17677, physical: 32525, byte value: 0
logical: 59691, physical: 24619, byte value: 74
logical: 50967, physical: 14871, byte value: -59
logical: 7817, physical: 31625, byte value: 0
logical: 8545, physical: 22881, byte value: 0
logical: 55297, physical: 32001, byte value: 0
logical: 52954, physical: 27098, byte value: 51
logical: 39720, physical: 5160, byte value: 0
logical: 18455, physical: 6167, byte value: 5
logical: 30349, physical: 6541, byte value: 0
logical: 63270, physical: 28966, byte value: 61
logical: 27156, physical: 29460, byte value: 0
logical: 20614, physical: 1414, byte value: 20
logical: 19372, physical: 7084, byte value: 0
logical: 48689, physical: 7473, byte value: 0
logical: 49386, physical: 27882, byte value: 48
logical: 50584, physical: 7832, byte value: 0
logical: 51936, physical: 30688, byte value: 0
logical: 34705, physical: 16529, byte value: 0
logical: 13653, physical: 11605, byte value: 0
logical: 50077, physical: 15517, byte value: 0
logical: 54518, physical: 14070, byte value: 53
logical: 41482, physical: 17674, byte value: 40
logical: 4169, physical: 30281, byte value: 0
